geo,Municipio,Porcentaje,Año
15001,Tunja,61.66,2020
15001,Tunja,61.66,2021
15001,Tunja,59.48,2022
15001,Tunja,87.58,2023
15001,Tunja,87.58,2024
15001,Tunja,90.79,2025
15022,Almeida,100,2020
15022,Almeida,100,2021
15022,Almeida,100,2022
15022,Almeida,100,2023
15022,Almeida,100,2024
15022,Almeida,100,2025
15047,Aquitania,23.74,2020
15047,Aquitania,43.23,2021
15047,Aquitania,26.15,2022
15047,Aquitania,91.24,2023
15047,Aquitania,100,2024
15047,Aquitania,100,2025
15051,Arcabuco,99.22,2020
15051,Arcabuco,99.22,2021
15051,Arcabuco,96.46,2022
15051,Arcabuco,100,2023
15051,Arcabuco,100,2025
15087,Belén,93.1,2020
15087,Belén,93.04,2021
15087,Belén,100,2022
15087,Belén,100,2025
15090,Berbeo,77.57,2020
15090,Berbeo,86.79,2021
15090,Berbeo,100,2022
15090,Berbeo,100,2023
15090,Berbeo,100,2024
15090,Berbeo,100,2025
15092,Betéitiva,100,2020
15092,Betéitiva,100,2021
15092,Betéitiva,100,2022
15092,Betéitiva,41.33,2023
15092,Betéitiva,100,2024
15092,Betéitiva,100,2025
15097,Boavita,94.3,2020
15097,Boavita,100,2021
15097,Boavita,100,2022
15097,Boavita,100,2023
15097,Boavita,100,2024
15097,Boavita,100,2025
15104,Boyacá,98.95,2020
15104,Boyacá,98.95,2021
15104,Boyacá,98.97,2022
15104,Boyacá,100,2023
15104,Boyacá,100,2024
15104,Boyacá,100,2025
15106,Briceño,82.8,2020
15106,Briceño,91.88,2021
15106,Briceño,92.22,2022
15106,Briceño,92.22,2023
15106,Briceño,100,2024
15106,Briceño,100,2025
15109,Buenavista,100,2020
15109,Buenavista,100,2021
15109,Buenavista,100,2022
15109,Buenavista,100,2024
15109,Buenavista,100,2025
15114,Busbanzá,100,2020
15114,Busbanzá,100,2021
15114,Busbanzá,100,2022
15114,Busbanzá,100,2023
15114,Busbanzá,100,2024
15114,Busbanzá,99.17,2025
15131,Caldas,10.68,2020
15131,Caldas,100,2021
15131,Caldas,100,2022
15131,Caldas,100,2023
15131,Caldas,100,2024
